Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,OF-M,OF-A,OF%,OIS-M,OIS-A,OIS%,OMR-M,OMR-A,OMR%,O3P-M,O3P-A,O3P%
J. Mena,193512,1,1,1.00,4,6,0.67,1,1,1.00,0,1,0.00,0,1,0.00,4,10,0.40,0,1,0.00,0,0,0.00
R. Lefebvre,213578,10,15,0.67,48,91,0.53,51,109,0.47,76,213,0.36,22,24,0.92,35,56,0.62,40,129,0.31,96,204,0.47
L. Goncalves,205006,1,3,0.33,237,425,0.56,20,44,0.45,21,70,0.30,9,18,0.50,132,257,0.51,11,30,0.37,12,35,0.34
K. Bush,198921,0,0,0.00,171,323,0.53,7,15,0.47,1,2,0.50,10,19,0.53,157,298,0.53,17,29,0.59,7,15,0.47
F. Fields,192896,53,69,0.77,28,55,0.51,59,127,0.46,92,251,0.37,20,29,0.69,16,29,0.55,54,121,0.45,79,251,0.31
Q. McLean,191751,61,82,0.74,11,29,0.38,41,115,0.36,64,171,0.37,31,39,0.79,15,29,0.52,53,142,0.37,76,218,0.35
T. Sims,195135,3,7,0.43,15,29,0.52,9,22,0.41,27,70,0.39,8,8,1.00,14,26,0.54,11,34,0.32,22,74,0.30
R. Owens,204031,0,0,0.00,12,28,0.43,0,3,0.00,2,4,0.50,1,2,0.50,19,38,0.50,1,1,1.00,0,0,0.00
I. Payne,206897,0,0,0.00,84,158,0.53,10,24,0.42,1,16,0.06,11,13,0.85,91,180,0.51,7,16,0.44,6,16,0.38
N. Gibbs,200463,11,17,0.65,5,5,1.00,15,24,0.62,32,59,0.54,17,26,0.65,6,8,0.75,20,46,0.43,33,90,0.37
M. Magana,209240,0,0,0.00,4,12,0.33,0,0,0.00,0,0,0.00,0,0,0.00,8,12,0.67,0,0,0.00,0,0,0.00
R. Youngblood,207652,0,1,0.00,1,1,1.00,2,2,1.00,0,2,0.00,0,0,0.00,1,1,1.00,2,6,0.33,0,4,0.00
R. Ellis,187825,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
M. Grossman,198318,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Overstreet,192479,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Lindley,200357,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Sprague,193323,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Mejia,205805,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Hennessy,198572,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
L. Ross,197720,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
C. Richardson,197175,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Kline,202966,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
W. Sam,199863,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Cain,198672,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
T. Workman,197110,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
K. Copeland,196000,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. Santamaria,206459,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
K. Buchanan,200088,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Fiori,197564,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
G. Adams,196832,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
G. Hampton,206613,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00
M. Schmidt,192966,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Ramirez,193104,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Allen,190716,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
L. Graves,192496,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. Jones,196528,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Davis,205677,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Irwin,203159,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Carman,199987,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
T. Richards,195647,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
G. Stokes,194933,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
H. Marcus,194112,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Strong,187640,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Reilly,200579,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
G. Hughes,197439,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
C. Sager,189268,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
C. Pope,203713,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
K. Zimmerman,198595,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
C. Tubbs,193421,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
G. Fontenot,188556,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. Sweeney,197683,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
G. Lennon,188105,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Gibbs,196114,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. McIntosh,188940,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
T. McArthur,196408,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
H. Carpenter,207521,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Ren,203768,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. Rowland,199238,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. Platt,197163,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Jackson,191560,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Morgan,188463,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
L. Alexander,195427,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Hernandez,192947,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
G. Shaw,193653,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Buck,202799,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Wheat,201120,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Lea,199569,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Cook,194566,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
W. Carter,189885,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
P. Butts,194797,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. McDermott,192731,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. Sanchez,201730,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
L. Ramos,191321,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
N. Montero,205025,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Coleman,203697,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Y. Schafer,202658,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Childs,201308,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Duncan,190292,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Bolden,204787,1,2,0.50,6,13,0.46,9,17,0.53,9,26,0.35,5,5,1.00,10,16,0.62,7,23,0.30,9,34,0.26
D. Egan,204199,6,8,0.75,203,333,0.61,12,30,0.40,0,1,0.00,10,16,0.62,109,241,0.45,6,16,0.38,11,31,0.35
G. Cain,207309,0,0,0.00,11,13,0.85,8,14,0.57,0,6,0.00,3,4,0.75,21,35,0.60,2,4,0.50,1,4,0.25
D. Grimes,207009,2,5,0.40,4,6,0.67,3,8,0.38,16,38,0.42,1,3,0.33,1,2,0.50,5,11,0.45,11,27,0.41
C. Horton,203966,4,6,0.67,5,7,0.71,8,34,0.24,1,2,0.50,11,13,0.85,6,8,0.75,20,40,0.50,20,59,0.34
E. Griffin,194190,3,3,1.00,127,201,0.63,7,11,0.64,0,0,0.00,9,20,0.45,86,167,0.51,6,17,0.35,7,13,0.54
D. Ford,197550,19,24,0.79,13,23,0.57,16,44,0.36,28,80,0.35,15,25,0.60,14,24,0.58,28,73,0.38,56,144,0.39
R. Williams,196352,7,10,0.70,27,60,0.45,19,45,0.42,56,140,0.40,11,19,0.58,15,28,0.54,43,87,0.49,46,134,0.34
B. Godfrey,189149,60,85,0.71,20,47,0.43,59,122,0.48,102,240,0.42,14,18,0.78,26,42,0.62,39,106,0.37,63,185,0.34
D. McConnell,197076,5,8,0.62,63,98,0.64,22,51,0.43,28,89,0.31,10,14,0.71,44,80,0.55,22,50,0.44,33,89,0.37
S. Jeffers,191227,0,1,0.00,130,232,0.56,31,65,0.48,15,43,0.35,11,16,0.69,89,179,0.50,6,15,0.40,13,36,0.36
C. Young,194670,32,47,0.68,7,15,0.47,30,69,0.43,34,111,0.31,41,49,0.84,18,29,0.62,46,108,0.43,44,165,0.27
D. Foster,208863,1,1,1.00,0,0,0.00,0,1,0.00,1,2,0.50,0,0,0.00,0,0,0.00,2,3,0.67,0,2,0.00
D. Roy,209661,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
H. Tarver,200699,32,37,0.86,42,76,0.55,62,160,0.39,105,304,0.35,30,35,0.86,24,49,0.49,46,128,0.36,64,196,0.33
G. Watkins,193616,12,21,0.57,157,254,0.62,30,53,0.57,17,37,0.46,10,18,0.56,125,254,0.49,17,45,0.38,17,43,0.40
R. Beals,200450,2,2,1.00,183,351,0.52,15,26,0.58,16,35,0.46,10,22,0.45,162,327,0.50,13,26,0.50,9,28,0.32
C. Schulz,192983,47,64,0.73,20,41,0.49,45,119,0.38,127,341,0.37,32,35,0.91,17,30,0.57,50,116,0.43,93,238,0.39
M. Ring,201353,0,0,0.00,20,31,0.65,16,28,0.57,9,23,0.39,2,3,0.67,42,67,0.63,4,11,0.36,5,14,0.36
J. Davis,188230,1,1,1.00,0,3,0.00,1,2,0.50,2,3,0.67,1,1,1.00,1,1,1.00,2,3,0.67,4,6,0.67
P. Boyer,194117,7,9,0.78,52,103,0.50,53,106,0.50,50,167,0.30,12,13,0.92,32,58,0.55,37,85,0.44,51,150,0.34
T. Meadows,195353,10,11,0.91,10,24,0.42,18,48,0.38,1,4,0.25,1,2,0.50,15,19,0.79,16,37,0.43,20,54,0.37
R. Wheat,202081,0,0,0.00,34,50,0.68,2,2,1.00,0,0,0.00,9,14,0.64,49,85,0.58,5,5,1.00,0,3,0.00
J. Montgomery,193606,1,1,1.00,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,2,0.50,0,1,0.00
L. Knight,201912,0,0,0.00,0,0,0.00,0,1,0.00,2,2,1.00,0,0,0.00,1,1,1.00,1,1,1.00,4,4,1.00
H. Werner,194513,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Healey,197196,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
G. Nesbitt,191960,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Grooms,192728,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
W. Poston,188405,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. Lewis,201967,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Reilly,199371,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Y. Erdoğan,217162,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
M. Bench,209697,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
P. Foster,189353,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
E. Soto,197044,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
T. Terry,193489,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Repetto,204070,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
L. Arcia,190091,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
T. Huston,205628,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
C. Allen,201544,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
L. Miller,197620,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Bush,196056,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Ellis,200609,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
T. Hancock,194705,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Burdock,194329,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
H. Zuliani,187721,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. Escamilla,196360,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
F. Henry,205595,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
L. Tolbert,201931,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
M. Suarez,200840,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
M. Cash,200427,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Neal,193535,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
L. Howard,196911,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Strickland,195607,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
E. Houck,194628,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
W. Lockwood,207829,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Hopper,196162,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Soto,203608,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
N. O`Carroll,201295,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
M. Hackett,193429,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
K. Smith,207883,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. Strickland,200709,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
P. Pfeffer,192177,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
F. Traverso,207970,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
F. King,196620,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. McGregor,198910,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
T. Fallow,204059,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Petry,192492,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
E. Bailey,205938,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
V. Taylor,190433,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Simpson,187821,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
T. Pulliam,204560,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
C. Buckley,194260,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Schuler,195912,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
L. Godwin,202917,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
F. Bennett,194253,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
G. Reardon,191068,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
H. Hodges,193480,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Sanders,196721,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. Rawls,198101,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Brackett,190485,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Rust,202457,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Wojcik,207984,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
M. Love,204967,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
F. Crespo,194727,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Gregory,192291,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
C. Santiago,214334,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
G. Webber,209605,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
K. Hargreaves,213546,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
C. Rizzi,200778,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Aldridge,216850,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
M. Saldivar,195628,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. Chacon,193937,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Hočevar,211506,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
G. Waugh,210338,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
R. Horn,202550,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Greer,197648,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
C. Leonard,204411,5,6,0.83,44,84,0.52,23,44,0.52,37,121,0.31,13,15,0.87,32,70,0.46,30,74,0.41,52,135,0.39
R. Ferguson,208181,0,0,0.00,19,37,0.51,5,7,0.71,3,8,0.38,4,7,0.57,22,42,0.52,0,0,0.00,0,2,0.00
B. Mayer,209245,0,0,0.00,40,69,0.58,1,6,0.17,0,0,0.00,1,3,0.33,27,53,0.51,1,3,0.33,1,1,1.00
S. Talbot,202519,3,4,0.75,2,4,0.50,5,11,0.45,6,13,0.46,3,3,1.00,4,5,0.80,12,24,0.50,13,34,0.38
C. Pearce,208623,5,7,0.71,0,2,0.00,4,14,0.29,5,24,0.21,2,3,0.67,2,2,1.00,13,25,0.52,13,44,0.30
H. Carter,202230,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,2,0.00
M. Parks,202433,0,0,0.00,12,26,0.46,6,9,0.67,3,9,0.33,1,2,0.50,11,26,0.42,3,9,0.33,1,4,0.25
G. Rosenthal,198976,1,3,0.33,44,80,0.55,4,8,0.50,2,8,0.25,9,16,0.56,86,149,0.58,4,6,0.67,5,15,0.33
L. McFarland,194540,0,0,0.00,0,0,0.00,0,1,0.00,0,2,0.00,0,0,0.00,0,0,0.00,0,2,0.00,4,5,0.80
W. Mears,188279,22,31,0.71,37,68,0.54,65,118,0.55,81,224,0.36,16,19,0.84,18,27,0.67,40,96,0.42,60,189,0.32
M. Terry,190227,13,17,0.76,41,76,0.54,34,69,0.49,96,231,0.42,18,20,0.90,19,31,0.61,33,96,0.34,57,160,0.36
